epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0802,1.71635,2.95987,1.56937,0.43244,0.46563,0.37439,0.16627,1.80445,4.99084,1.64409,0.00052,0.00052,0.00052
2,21.2941,1.55861,1.72492,1.46272,0.1166,0.42063,0.11159,0.04645,1.8906,14.8516,1.83327,0.00103377,0.00103377,0.00103377
3,30.5411,1.61303,1.74463,1.54509,0.13732,0.25397,0.06738,0.03013,2.63201,5.3533,2.67243,0.0015208,0.0015208,0.0015208
4,38.7601,1.58908,1.64068,1.49487,0.10628,0.4127,0.07499,0.03091,1.95845,8.18305,1.94351,0.0018515,0.0018515,0.0018515
5,47.8704,1.62564,1.56711,1.54194,0.19559,0.27017,0.15368,0.0745,2.21517,4.79522,2.07666,0.001802,0.001802,0.001802
6,56.8682,1.56843,1.49847,1.46139,0.43449,0.4127,0.40005,0.19108,1.85375,4.06806,1.81785,0.0017525,0.0017525,0.0017525
7,65.6222,1.56342,1.40984,1.44678,0.42756,0.50388,0.39499,0.1854,1.82081,2.81461,1.75433,0.001703,0.001703,0.001703
8,75.379,1.49014,1.48849,1.46493,0.33787,0.49206,0.32663,0.14668,1.94567,2.527,1.77098,0.0016535,0.0016535,0.0016535
9,85.2685,1.47896,1.34729,1.39582,0.54155,0.62815,0.54788,0.28457,1.72601,1.58525,1.56444,0.001604,0.001604,0.001604
10,94.274,1.45485,1.3336,1.41047,0.64872,0.57937,0.63584,0.28831,1.72764,1.81555,1.63594,0.0015545,0.0015545,0.0015545
11,103.783,1.44175,1.29542,1.37636,0.53329,0.53175,0.51133,0.2514,1.61818,1.78358,1.51825,0.001505,0.001505,0.001505
12,113.415,1.39824,1.25066,1.3536,0.6734,0.54002,0.63273,0.34425,1.59223,1.49303,1.58381,0.0014555,0.0014555,0.0014555
13,122.771,1.40441,1.2846,1.38667,0.5838,0.59004,0.59398,0.31767,1.70751,1.6103,1.53845,0.001406,0.001406,0.001406
14,132.043,1.35847,1.16687,1.33261,0.65807,0.62698,0.62534,0.32981,1.65802,1.75063,1.58632,0.0013565,0.0013565,0.0013565
15,141.571,1.36351,1.18475,1.34806,0.67509,0.56349,0.60543,0.32296,1.61695,1.50396,1.53745,0.001307,0.001307,0.001307
16,151.103,1.30933,1.14027,1.30239,0.64592,0.59524,0.6123,0.36697,1.45438,1.39553,1.37345,0.0012575,0.0012575,0.0012575
17,159.901,1.33586,1.1193,1.31351,0.69466,0.61905,0.67358,0.3593,1.60165,1.42565,1.51803,0.001208,0.001208,0.001208
18,169.241,1.29176,1.06973,1.27993,0.63631,0.64286,0.64453,0.36169,1.59701,1.39402,1.48396,0.0011585,0.0011585,0.0011585
19,178.737,1.28029,1.09313,1.29376,0.70355,0.66667,0.72614,0.44125,1.37558,1.21936,1.30069,0.001109,0.001109,0.001109
20,187.56,1.2259,1.00893,1.24906,0.78763,0.59524,0.69064,0.40784,1.45673,1.401,1.39014,0.0010595,0.0010595,0.0010595
